S.no,Year,Creditor,Indicator,Attribute,Value,,,,,,
1,1970,India,DT.DOD.BLAT.CD,Sri Lanka,8867177.8,,,,,,
1,1970,India,DT.DOD.BLAT.CD,Myanmar,3333858.3,,,,,,
1,1970,India,DT.DOD.BLAT.CD,Nepal,461065.5,,,,,,
2,1971,India,DT.DOD.BLAT.CD,Sri Lanka,10428208.5,,,,,,
2,1971,India,DT.DOD.BLAT.CD,Myanmar,1155347.7,,,,,,
2,1971,India,DT.DOD.BLAT.CD,Nepal,440792.5,,,,,,
3,1972,India,DT.DOD.BLAT.CD,Bangladesh,21854838.4,,,,,,
3,1972,India,DT.DOD.BLAT.CD,Sri Lanka,10415157.4,,,,,,
3,1972,India,DT.DOD.BLAT.CD,Myanmar,0,,,,,,
3,1972,India,DT.DOD.BLAT.CD,Nepal,361757.1,,,,,,
4,1973,India,DT.DOD.BLAT.CD,Bangladesh,33858828,,,,,,
4,1973,India,DT.DOD.BLAT.CD,Sri Lanka,11288202,,,,,,
4,1973,India,DT.DOD.BLAT.CD,Nepal,321768,,,,,,
5,1974,India,DT.DOD.BLAT.CD,Bangladesh,61027156.2,,,,,,
5,1974,India,DT.DOD.BLAT.CD,Sri Lanka,12413054.6,,,,,,
5,1974,India,DT.DOD.BLAT.CD,Myanmar,1312280,,,,,,
5,1974,India,DT.DOD.BLAT.CD,Nepal,462764.4,,,,,,
6,1975,India,DT.DOD.BLAT.CD,Bangladesh,77443142.1,,,,,,
6,1975,India,DT.DOD.BLAT.CD,Sri Lanka,12915833.7,,,,,,
6,1975,India,DT.DOD.BLAT.CD,Myanmar,1319412.9,,,,,,
6,1975,India,DT.DOD.BLAT.CD,Nepal,375872.1,,,,,,
7,1976,India,DT.DOD.BLAT.CD,Bangladesh,97068859.8,,,,,,
7,1976,India,DT.DOD.BLAT.CD,Sri Lanka,13641264.8,,,,,,
7,1976,India,DT.DOD.BLAT.CD,Myanmar,0,,,,,,
7,1976,India,DT.DOD.BLAT.CD,Nepal,586083,,,,,,
8,1977,India,DT.DOD.BLAT.CD,Bangladesh,104374184.3,,,,,,
8,1977,India,DT.DOD.BLAT.CD,Sri Lanka,20287761,,,,,,
8,1977,India,DT.DOD.BLAT.CD,Myanmar,0,,,,,,
8,1977,India,DT.DOD.BLAT.CD,Nepal,814887.4,,,,,,
9,1978,India,DT.DOD.BLAT.CD,Bangladesh,97573454.5,,,,,,
9,1978,India,DT.DOD.BLAT.CD,Sri Lanka,30017958.7,,,,,,
9,1978,India,DT.DOD.BLAT.CD,Nepal,729941.1,,,,,,
10,1979,India,DT.DOD.BLAT.CD,Bangladesh,96901552.7,,,,,,
10,1979,India,DT.DOD.BLAT.CD,Sri Lanka,35516456.8,,,,,,
10,1979,India,DT.DOD.BLAT.CD,Nepal,672720.5,,,,,,
11,1980,India,DT.DOD.BLAT.CD,Bangladesh,87559545.1,,,,,,
11,1980,India,DT.DOD.BLAT.CD,Sri Lanka,40232457.2,,,,,,
11,1980,India,DT.DOD.BLAT.CD,Nepal,587752.1,,,,,,
12,1981,India,DT.DOD.BLAT.CD,Bangladesh,74139499.1,,,,,,
12,1981,India,DT.DOD.BLAT.CD,Sri Lanka,32708657.8,,,,,,
12,1981,India,DT.DOD.BLAT.CD,Nepal,440039.6,,,,,,
13,1982,India,DT.DOD.BLAT.CD,Bangladesh,67240078.6,,,,,,
13,1982,India,DT.DOD.BLAT.CD,Sri Lanka,30401878.2,,,,,,
13,1982,India,DT.DOD.BLAT.CD,Nepal,347314.8,,,,,,
14,1983,India,DT.DOD.BLAT.CD,Bangladesh,57695185.4,,,,,,
14,1983,India,DT.DOD.BLAT.CD,Sri Lanka,27554660.8,,,,,,
14,1983,India,DT.DOD.BLAT.CD,Nepal,256166.4,,,,,,
15,1984,India,DT.DOD.BLAT.CD,Bangladesh,44579152.2,,,,,,
15,1984,India,DT.DOD.BLAT.CD,Sri Lanka,19574684.8,,,,,,
15,1984,India,DT.DOD.BLAT.CD,Nepal,163033.4,,,,,,
16,1985,India,DT.DOD.BLAT.CD,Bangladesh,51423391.5,,,,,,
16,1985,India,DT.DOD.BLAT.CD,Sri Lanka,16606783.8,,,,,,
16,1985,India,DT.DOD.BLAT.CD,Nepal,112778.4,,,,,,
17,1986,India,DT.DOD.BLAT.CD,Bangladesh,65134121.6,,,,,,
17,1986,India,DT.DOD.BLAT.CD,Sri Lanka,13387687.9,,,,,,
17,1986,India,DT.DOD.BLAT.CD,Nepal,54488.7,,,,,,
18,1987,India,DT.DOD.BLAT.CD,Bangladesh,70113215.5,,,,,,
18,1987,India,DT.DOD.BLAT.CD,Sri Lanka,11606710.9,,,,,,
18,1987,India,DT.DOD.BLAT.CD,Nepal,0,,,,,,
19,1988,India,DT.DOD.BLAT.CD,Bangladesh,58774127,,,,,,
19,1988,India,DT.DOD.BLAT.CD,Sri Lanka,9164947.9,,,,,,
20,1989,India,DT.DOD.BLAT.CD,Bangladesh,44603121,,,,,,
20,1989,India,DT.DOD.BLAT.CD,Sri Lanka,6986066.3,,,,,,
21,1990,India,DT.DOD.BLAT.CD,Bangladesh,35127518,,,,,,
21,1990,India,DT.DOD.BLAT.CD,Sri Lanka,4401765.9,,,,,,
22,1991,India,DT.DOD.BLAT.CD,Bangladesh,19268943.8,,,,,,
22,1991,India,DT.DOD.BLAT.CD,Sri Lanka,1771942.3,,,,,,
23,1992,India,DT.DOD.BLAT.CD,Bangladesh,17187900.6,,,,,,
23,1992,India,DT.DOD.BLAT.CD,Bhutan,5631526.7,,,,,,
23,1992,India,DT.DOD.BLAT.CD,Sri Lanka,646564.8,,,,,,
24,1993,India,DT.DOD.BLAT.CD,Bangladesh,15468928.3,,,,,,
24,1993,India,DT.DOD.BLAT.CD,Bhutan,11598023.5,,,,,,
24,1993,India,DT.DOD.BLAT.CD,Sri Lanka,714021.6,,,,,,
25,1994,India,DT.DOD.BLAT.CD,Bangladesh,14297099.3,,,,,,
25,1994,India,DT.DOD.BLAT.CD,Bhutan,17066697.5,,,,,,
25,1994,India,DT.DOD.BLAT.CD,Sri Lanka,549617.6,,,,,,
26,1995,India,DT.DOD.BLAT.CD,Bangladesh,4241387,,,,,,
26,1995,India,DT.DOD.BLAT.CD,Bhutan,18619726.6,,,,,,
26,1995,India,DT.DOD.BLAT.CD,Sri Lanka,2038658.3,,,,,,
27,1996,India,DT.DOD.BLAT.CD,Bangladesh,2419120.9,,,,,,
27,1996,India,DT.DOD.BLAT.CD,Bhutan,27376515.3,,,,,,
27,1996,India,DT.DOD.BLAT.CD,Sri Lanka,3236655.2,,,,,,
28,1997,India,DT.DOD.BLAT.CD,Bangladesh,1046385,,,,,,
28,1997,India,DT.DOD.BLAT.CD,Bhutan,25041702.3,,,,,,
28,1997,India,DT.DOD.BLAT.CD,Sri Lanka,12833084.7,,,,,,
28,1997,India,DT.DOD.BLAT.CD,Myanmar,0,,,,,,
29,1998,India,DT.DOD.BLAT.CD,Bangladesh,1399411.4,,,,,,
29,1998,India,DT.DOD.BLAT.CD,Bhutan,73166030.3,,,,,,
29,1998,India,DT.DOD.BLAT.CD,Sri Lanka,16758309.8,,,,,,
29,1998,India,DT.DOD.BLAT.CD,Myanmar,8000000,,,,,,
30,1999,India,DT.DOD.BLAT.CD,Bangladesh,4923890.2,,,,,,
30,1999,India,DT.DOD.BLAT.CD,Bhutan,69453731.4,,,,,,
30,1999,India,DT.DOD.BLAT.CD,Sri Lanka,17769196,,,,,,
30,1999,India,DT.DOD.BLAT.CD,Myanmar,10000000,,,,,,
31,2000,India,DT.DOD.BLAT.CD,Bangladesh,5777731.5,,,,,,
31,2000,India,DT.DOD.BLAT.CD,Bhutan,84037822.6,,,,,,
31,2000,India,DT.DOD.BLAT.CD,Sri Lanka,15291160.2,,,,,,
31,2000,India,DT.DOD.BLAT.CD,Myanmar,12250000,,,,,,
32,2001,India,DT.DOD.BLAT.CD,Bangladesh,5606247.4,,,,,,
32,2001,India,DT.DOD.BLAT.CD,Bhutan,138980448.4,,,,,,
32,2001,India,DT.DOD.BLAT.CD,Sri Lanka,12779033.2,,,,,,
32,2001,India,DT.DOD.BLAT.CD,Myanmar,15550000,,,,,,
33,2002,India,DT.DOD.BLAT.CD,Bangladesh,5623756,,,,,,
33,2002,India,DT.DOD.BLAT.CD,Bhutan,200277285,,,,,,
33,2002,India,DT.DOD.BLAT.CD,Sri Lanka,28929017.3,,,,,,
33,2002,India,DT.DOD.BLAT.CD,Myanmar,18166922.9,,,,,,
34,2003,India,DT.DOD.BLAT.CD,Bangladesh,5922144.3,,,,,,
34,2003,India,DT.DOD.BLAT.CD,Bhutan,278845099.7,,,,,,
34,2003,India,DT.DOD.BLAT.CD,Sri Lanka,68540000,,,,,,
34,2003,India,DT.DOD.BLAT.CD,Myanmar,23739076.7,,,,,,
35,2004,India,DT.DOD.BLAT.CD,Bangladesh,6197292.6,,,,,,
35,2004,India,DT.DOD.BLAT.CD,Bhutan,360773408.3,,,,,,
35,2004,India,DT.DOD.BLAT.CD,Sri Lanka,98010000,,,,,,
35,2004,India,DT.DOD.BLAT.CD,Myanmar,39384995.4,,,,,,
36,2005,India,DT.DOD.BLAT.CD,Bangladesh,5993764.6,,,,,,
36,2005,India,DT.DOD.BLAT.CD,Bhutan,397140508.1,,,,,,
36,2005,India,DT.DOD.BLAT.CD,Sri Lanka,103799000,,,,,,
36,2005,India,DT.DOD.BLAT.CD,Myanmar,56164743.9,,,,,,
37,2006,India,DT.DOD.BLAT.CD,Bangladesh,5713278.3,,,,,,
37,2006,India,DT.DOD.BLAT.CD,Bhutan,424594055.8,,,,,,
37,2006,India,DT.DOD.BLAT.CD,Sri Lanka,126106000,,,,,,
37,2006,India,DT.DOD.BLAT.CD,Myanmar,68550816.8,,,,,,
38,2007,India,DT.DOD.BLAT.CD,Bangladesh,6168032.5,,,,,,
38,2007,India,DT.DOD.BLAT.CD,Bhutan,465019934,,,,,,
38,2007,India,DT.DOD.BLAT.CD,Sri Lanka,138902000,,,,,,
38,2007,India,DT.DOD.BLAT.CD,Myanmar,84755012.5,,,,,,
38,2007,India,DT.DOD.BLAT.CD,Nepal,0,,,,,,
39,2008,India,DT.DOD.BLAT.CD,Bangladesh,5017294.4,,,,,,
39,2008,India,DT.DOD.BLAT.CD,Bhutan,360527148.9,,,,,,
39,2008,India,DT.DOD.BLAT.CD,Sri Lanka,136086000,,,,,,
39,2008,India,DT.DOD.BLAT.CD,Maldive,0,,,,,,
39,2008,India,DT.DOD.BLAT.CD,Myanmar,114104415.9,,,,,,
39,2008,India,DT.DOD.BLAT.CD,Nepal,0,,,,,,
40,2009,India,DT.DOD.BLAT.CD,Bangladesh,67480.7,,,,,,
40,2009,India,DT.DOD.BLAT.CD,Bhutan,404616580.9,,,,,,
40,2009,India,DT.DOD.BLAT.CD,Sri Lanka,156509000,,,,,,
40,2009,India,DT.DOD.BLAT.CD,Maldive,82317057,,,,,,
40,2009,India,DT.DOD.BLAT.CD,Myanmar,146719283,,,,,,
40,2009,India,DT.DOD.BLAT.CD,Nepal,5378000,,,,,,
41,2010,India,DT.DOD.BLAT.CD,Bangladesh,70296.8,,,,,,
41,2010,India,DT.DOD.BLAT.CD,Bhutan,472756907,,,,,,
41,2010,India,DT.DOD.BLAT.CD,Sri Lanka,171493000,,,,,,
41,2010,India,DT.DOD.BLAT.CD,Maldive,94466305,,,,,,
41,2010,India,DT.DOD.BLAT.CD,Myanmar,172260970.9,,,,,,
41,2010,India,DT.DOD.BLAT.CD,Nepal,20276038.8,,,,,,
42,2011,India,DT.DOD.BLAT.CD,Bangladesh,742320143.8,,,,,,
42,2011,India,DT.DOD.BLAT.CD,Bhutan,535490161.5,,,,,,
42,2011,India,DT.DOD.BLAT.CD,Sri Lanka,368096000,,,,,,
42,2011,India,DT.DOD.BLAT.CD,Maldive,115098795,,,,,,
42,2011,India,DT.DOD.BLAT.CD,Myanmar,187853998.8,,,,,,
42,2011,India,DT.DOD.BLAT.CD,Nepal,20276000,,,,,,
43,2012,India,DT.DOD.BLAT.CD,Bangladesh,622318505.6,,,,,,
43,2012,India,DT.DOD.BLAT.CD,Bhutan,786962665.3,,,,,,
43,2012,India,DT.DOD.BLAT.CD,Sri Lanka,615926000,,,,,,
43,2012,India,DT.DOD.BLAT.CD,Maldive,126178795,,,,,,
43,2012,India,DT.DOD.BLAT.CD,Myanmar,198279759.9,,,,,,
43,2012,India,DT.DOD.BLAT.CD,Nepal,20276000,,,,,,
44,2013,India,DT.DOD.BLAT.CD,Bangladesh,502311891,,,,,,
44,2013,India,DT.DOD.BLAT.CD,Bhutan,919224889.8,,,,,,
44,2013,India,DT.DOD.BLAT.CD,Sri Lanka,786537851,,,,,,
44,2013,India,DT.DOD.BLAT.CD,Maldive,116122243,,,,,,
44,2013,India,DT.DOD.BLAT.CD,Myanmar,208908429.3,,,,,,
44,2013,India,DT.DOD.BLAT.CD,Nepal,51192000,,,,,,
45,2014,India,DT.DOD.BLAT.CD,Bangladesh,349739738.3,,,,,,
45,2014,India,DT.DOD.BLAT.CD,Bhutan,1217177424,,,,,,
45,2014,India,DT.DOD.BLAT.CD,Sri Lanka,920738000,,,,,,
45,2014,India,DT.DOD.BLAT.CD,Maldive,95420000,,,,,,
45,2014,India,DT.DOD.BLAT.CD,Myanmar,212816000,,,,,,
45,2014,India,DT.DOD.BLAT.CD,Nepal,50247000,,,,,,
46,2015,India,DT.DOD.BLAT.CD,Bangladesh,233079000,,,,,,
46,2015,India,DT.DOD.BLAT.CD,Bhutan,1355573998,,,,,,
46,2015,India,DT.DOD.BLAT.CD,Sri Lanka,953845000,,,,,,
46,2015,India,DT.DOD.BLAT.CD,Maldive,74523000,,,,,,
46,2015,India,DT.DOD.BLAT.CD,Myanmar,203808000,,,,,,
46,2015,India,DT.DOD.BLAT.CD,Nepal,56144000,,,,,,
47,2016,India,DT.DOD.BLAT.CD,Bangladesh,326062000,,,,,,
47,2016,India,DT.DOD.BLAT.CD,Bhutan,1650314621,,,,,,
47,2016,India,DT.DOD.BLAT.CD,Sri Lanka,947521000,,,,,,
47,2016,India,DT.DOD.BLAT.CD,Maldive,175062000,,,,,,
47,2016,India,DT.DOD.BLAT.CD,Myanmar,194061000,,,,,,
47,2016,India,DT.DOD.BLAT.CD,Nepal,66543000,,,,,,
48,2017,India,DT.DOD.BLAT.CD,Bangladesh,327013000,,,,,,
48,2017,India,DT.DOD.BLAT.CD,Bhutan,1895465584,,,,,,
48,2017,India,DT.DOD.BLAT.CD,Sri Lanka,988328000,,,,,,
48,2017,India,DT.DOD.BLAT.CD,Maldive,162652000,,,,,,
48,2017,India,DT.DOD.BLAT.CD,Myanmar,177727265.6,,,,,,
48,2017,India,DT.DOD.BLAT.CD,Nepal,71944000,,,,,,
49,2018,India,DT.DOD.BLAT.CD,Bangladesh,362189000,,,,,,
49,2018,India,DT.DOD.BLAT.CD,Bhutan,1826888726,,,,,,
49,2018,India,DT.DOD.BLAT.CD,Sri Lanka,985140000,,,,,,
49,2018,India,DT.DOD.BLAT.CD,Maldive,148029000,,,,,,
49,2018,India,DT.DOD.BLAT.CD,Myanmar,200502000,,,,,,
49,2018,India,DT.DOD.BLAT.CD,Nepal,94789000,,,,,,
50,2019,India,DT.DOD.BLAT.CD,Bangladesh,530262000,,,,,,
50,2019,India,DT.DOD.BLAT.CD,Bhutan,1882902166,,,,,,
50,2019,India,DT.DOD.BLAT.CD,Sri Lanka,962247000,,,,,,
50,2019,India,DT.DOD.BLAT.CD,Maldive,65782000,,,,,,
50,2019,India,DT.DOD.BLAT.CD,Myanmar,208894000,,,,,,
50,2019,India,DT.DOD.BLAT.CD,Nepal,187844000,,,,,,
51,2020,India,DT.DOD.BLAT.CD,Bangladesh,638189000,,,,,,
51,2020,India,DT.DOD.BLAT.CD,Bhutan,1943636577,,,,,,
51,2020,India,DT.DOD.BLAT.CD,Sri Lanka,973767000,,,,,,
51,2020,India,DT.DOD.BLAT.CD,Maldive,453290000,,,,,,
51,2020,India,DT.DOD.BLAT.CD,Myanmar,210384000,,,,,,
51,2020,India,DT.DOD.BLAT.CD,Nepal,221859000,,,,,,
